,Fig Index,DOI,Mistake,Fig ID,Journal,Measurand,Absolute/Relative,Measurement Type,Measurand Level I,Measurand Level II,Log transformation
19,10.1021:acsnano.2c09908_zero_fig2,10.1021:acsnano.2c09908,zero,2,acs_nano,I_Ex.405nm/I_Ex.488nm,Relative,Ratio,Ratio,Ratio,No
20,10.1021:acsnano.2c09908_zero_fig3,10.1021:acsnano.2c09908,zero,3,acs_nano,Average area (µm2),Absolute,Measured value,Area,Others,No
21,10.1021:acsnano.2c10203_zero_fig1,10.1021:acsnano.2c10203,zero,1,acs_nano,Antibacterial efficiency (%),Relative,Percentage,Percentage,Percentage,No
22,10.1021:acsnano.2c10219_zero_fig1,10.1021:acsnano.2c10219,zero,1,acs_nano,Percent of CD11c+ CD80+ CD86+ cells (%),Relative,Percentage,Cell percentage,Percentage,No
23,10.1021:acsnano.2c10219_zero_fig2,10.1021:acsnano.2c10219,zero,2,acs_nano,Percent of F4/80+ CD 206+ cells (%),Relative,Percentage,Cell percentage,Percentage,No
24,10.1021:acsnano.2c10219_zero_fig3,10.1021:acsnano.2c10219,zero,3,acs_nano,Percent of CD3+ CD8+ cells (%),Relative,Percentage,Cell percentage,Percentage,No
25,10.1021:acsnano.2c10219_zero_fig4,10.1021:acsnano.2c10219,zero,4,acs_nano,Relative uptake rate (% to control),Relative,Percentage,Percentage,Percentage,No
26,10.1021:acsnano.2c10219_zero_fig5,10.1021:acsnano.2c10219,zero,5,acs_nano,Relative uptake rate (% to control),Relative,Percentage,Percentage,Percentage,No
27,10.1021:acsnano.2c10249_zero_fig1,10.1021:acsnano.2c10249,zero,1,acs_nano,Relative bacterial survival rate %,Relative,Percentage,Cell viability,Percentage,No
28,10.1021:acsnano.2c10310_zero_fig1,10.1021:acsnano.2c10310,zero,1,acs_nano,Relative signal (a.u.),Relative,Measured value,Others,Others,No
29,10.1021:acsnano.2c10352_zero_fig1,10.1021:acsnano.2c10352,zero,1,acs_nano,CD206+ F4/80+ in CD11b+ cells (%),Relative,Percentage,Percentage,Percentage,No
30,10.1021:acsnano.2c10352_zero_fig10,10.1021:acsnano.2c10352,zero,10,acs_nano,DC maturation (%),Relative,Percentage,Percentage,Percentage,No
31,10.1021:acsnano.2c10352_zero_fig2,10.1021:acsnano.2c10352,zero,2,acs_nano,CD80+ F4/80+ in CD11b+ cells (%),Relative,Percentage,Percentage,Percentage,No
32,10.1021:acsnano.2c10352_zero_fig3,10.1021:acsnano.2c10352,zero,3,acs_nano,CD4+ in CD3+ cells (%),Relative,Percentage,Percentage,Percentage,No
33,10.1021:acsnano.2c10352_zero_fig4,10.1021:acsnano.2c10352,zero,4,acs_nano,CD8+ in CD3+ cells (%),Relative,Percentage,Percentage,Percentage,No
34,10.1021:acsnano.2c10352_zero_fig5,10.1021:acsnano.2c10352,zero,5,acs_nano,CD4+ in CD3+ cells (%),Relative,Percentage,Percentage,Percentage,No
35,10.1021:acsnano.2c10352_zero_fig6,10.1021:acsnano.2c10352,zero,6,acs_nano,CD8+ in CD3+ cells (%),Relative,Percentage,Percentage,Percentage,No
36,10.1021:acsnano.2c10352_zero_fig7,10.1021:acsnano.2c10352,zero,7,acs_nano,CD80+ F4/80+ in CD11b+ cells (%),Relative,Percentage,Percentage,Percentage,No
37,10.1021:acsnano.2c10352_zero_fig8,10.1021:acsnano.2c10352,zero,8,acs_nano,CD11b+Gr-1+ in CD45+ cells (%),Relative,Percentage,Percentage,Percentage,No
38,10.1021:acsnano.2c10352_zero_fig9,10.1021:acsnano.2c10352,zero,9,acs_nano,CD8+ in CD3+ cells (%),Relative,Percentage,Percentage,Percentage,No
39,10.1021:acsnano.2c10388_zero_fig1,10.1021:acsnano.2c10388,zero,1,acs_nano,-log10(pvalue),Absolute,Measured value,p-value,Statistics,10
40,10.1021:acsnano.2c10584_zero_fig1,10.1021:acsnano.2c10584,zero,1,acs_nano,lambda (nm),Absolute,Measured value,Length,Length,No
41,10.1021:acsnano.2c10936_zero_fig1,10.1021:acsnano.2c10936,zero,1,acs_nano,Pearson's coefficient,Absolute,Measured value,Statistics,Statistics,No
42,10.1021:acsnano.2c10936_zero_fig2,10.1021:acsnano.2c10936,zero,2,acs_nano,Number mean (nm),Absolute,Measured value,Particle diameter,Length,No
43,10.1021:acsnano.2c10970_zero_fig1,10.1021:acsnano.2c10970,zero,1,acs_nano,Expression of EGFR+ exosomal miR-21 (Cq),Absolute,Measured value,Constant,Constant,No
44,10.1021:acsnano.2c11037_zero_fig1,10.1021:acsnano.2c11037,zero,1,acs_nano,TNF-alpha (ng/L),Absolute,Measured value,Cytokine concentration,Concentration,No
45,10.1021:acsnano.2c11037_zero_fig2,10.1021:acsnano.2c11037,zero,2,acs_nano,IL-10 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
46,10.1021:acsnano.2c11037_zero_fig3,10.1021:acsnano.2c11037,zero,3,acs_nano,IL-6 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
47,10.1021:acsnano.2c11037_zero_fig4,10.1021:acsnano.2c11037,zero,4,acs_nano,INF-gamma (ng/L),Absolute,Measured value,Cytokine concentration,Concentration,No
48,10.1021:acsnano.2c11058_zero_fig1,10.1021:acsnano.2c11058,zero,1,acs_nano,Zeta potential (mV),Absolute,Measured value,Potential,Others,No
49,10.1021:acsnano.2c11058_zero_fig2,10.1021:acsnano.2c11058,zero,2,acs_nano,EE%,Relative,Percentage,Percentage,Percentage,No
50,10.1021:acsnano.2c11305_zero_fig1,10.1021:acsnano.2c11305,zero,1,acs_nano,Length of colorectum (cm),Absolute,Measured value,Length,Length,No
51,10.1021:acsnano.2c11305_zero_fig2,10.1021:acsnano.2c11305,zero,2,acs_nano,CD8+ T cells (%),Relative,Percentage,Cell percentage,Percentage,No
52,10.1021:acsnano.2c11339_zero_fig1,10.1021:acsnano.2c11339,zero,1,acs_nano,Filtration efficiency (%),Relative,Percentage,Percentage,Percentage,No
53,10.1021:acsnano.2c11363_zero_fig1,10.1021:acsnano.2c11363,zero,1,acs_nano,Infarct size (%),Relative,Percentage,Percentage,Percentage,No
54,10.1021:acsnano.2c11363_zero_fig10,10.1021:acsnano.2c11363,zero,10,acs_nano,Fluorescence intensity (x1e6),Relative,Calculated value,Relative luminescence,Fluorescence,No
55,10.1021:acsnano.2c11363_zero_fig11,10.1021:acsnano.2c11363,zero,11,acs_nano,Fluorescence intensity (x1e6),Relative,Calculated value,Relative luminescence,Fluorescence,No
56,10.1021:acsnano.2c11363_zero_fig12,10.1021:acsnano.2c11363,zero,12,acs_nano,Infraction size (%),Relative,Percentage,Percentage,Percentage,No
57,10.1021:acsnano.2c11363_zero_fig13,10.1021:acsnano.2c11363,zero,13,acs_nano,Fluorescence intensity (x1e4),Relative,Calculated value,Relative luminescence,Fluorescence,No
58,10.1021:acsnano.2c11363_zero_fig14,10.1021:acsnano.2c11363,zero,14,acs_nano,"Average radiant efficiency (x1e5, p/s/cm2/sr/µW/cm2)",Absolute,Measured value,Radiant efficiency,Fluorescence,No
59,10.1021:acsnano.2c11363_zero_fig15,10.1021:acsnano.2c11363,zero,15,acs_nano,"Average radiant efficiency (x1e6, p/s/cm2/sr/µW/cm2)",Absolute,Measured value,Radiant efficiency,Fluorescence,No
60,10.1021:acsnano.2c11363_zero_fig2,10.1021:acsnano.2c11363,zero,2,acs_nano,"Average radiant efficiency (x1e5, p/s/cm2/sr/µW/cm2)",Absolute,Measured value,Radiant efficiency,Fluorescence,No
61,10.1021:acsnano.2c11363_zero_fig3,10.1021:acsnano.2c11363,zero,3,acs_nano,"Average radiant efficiency (x1e5, p/s/cm2/sr/µW/cm2)",Absolute,Measured value,Radiant efficiency,Fluorescence,No
62,10.1021:acsnano.2c11363_zero_fig4,10.1021:acsnano.2c11363,zero,4,acs_nano,"Average radiant efficiency (x1e6, p/s/cm2/sr/µW/cm2)",Absolute,Measured value,Radiant efficiency,Fluorescence,No
63,10.1021:acsnano.2c11363_zero_fig5,10.1021:acsnano.2c11363,zero,5,acs_nano,"Average radiant efficiency (x1e6, p/s/cm2/sr/µW/cm2)",Absolute,Measured value,Radiant efficiency,Fluorescence,No
64,10.1021:acsnano.2c11363_zero_fig6,10.1021:acsnano.2c11363,zero,6,acs_nano,Fluorescence intensity (x1e6),Relative,Calculated value,Relative luminescence,Fluorescence,No
65,10.1021:acsnano.2c11363_zero_fig7,10.1021:acsnano.2c11363,zero,7,acs_nano,Fluorescence intensity (x1e6),Relative,Calculated value,Relative luminescence,Fluorescence,No
66,10.1021:acsnano.2c11363_zero_fig8,10.1021:acsnano.2c11363,zero,8,acs_nano,Fluorescence intensity (x1e6),Relative,Calculated value,Relative luminescence,Fluorescence,No
67,10.1021:acsnano.2c11363_zero_fig9,10.1021:acsnano.2c11363,zero,9,acs_nano,Fluorescence intensity (x1e6),Relative,Calculated value,Relative luminescence,Fluorescence,No
68,10.1021:acsnano.2c11448_zero_fig1,10.1021:acsnano.2c11448,zero,1,acs_nano,Percent (%),Relative,Percentage,Percentage,Percentage,No
69,10.1021:acsnano.2c11486_zero_fig1,10.1021:acsnano.2c11486,zero,1,acs_nano,Relative mRNA expression,Relative,Ratio,Ratio,Ratio,No
70,10.1021:acsnano.2c11486_zero_fig2,10.1021:acsnano.2c11486,zero,2,acs_nano,Relative mRNA expression,Relative,Ratio,Ratio,Ratio,No
71,10.1021:acsnano.2c11486_zero_fig3,10.1021:acsnano.2c11486,zero,3,acs_nano,Relative mRNA expression,Relative,Ratio,Ratio,Ratio,No
72,10.1021:acsnano.2c11486_zero_fig4,10.1021:acsnano.2c11486,zero,4,acs_nano,Relative mRNA expression,Relative,Ratio,Ratio,Ratio,No
73,10.1021:acsnano.2c11486_zero_fig5,10.1021:acsnano.2c11486,zero,5,acs_nano,Relative mRNA expression,Relative,Ratio,Ratio,Ratio,No
74,10.1021:acsnano.2c11486_zero_fig6,10.1021:acsnano.2c11486,zero,6,acs_nano,Relative mRNA expression,Relative,Ratio,Ratio,Ratio,No
75,10.1021:acsnano.2c11486_zero_fig7,10.1021:acsnano.2c11486,zero,7,acs_nano,Relative mRNA expression,Relative,Ratio,Ratio,Ratio,No
76,10.1021:acsnano.2c11486_zero_fig8,10.1021:acsnano.2c11486,zero,8,acs_nano,Relative mRNA expression,Relative,Ratio,Ratio,Ratio,No
77,10.1021:acsnano.2c11675_zero_fig1,10.1021:acsnano.2c11675,zero,1,acs_nano,Total radiant efficiency x1e8 (photon/sec/mm/sq),Absolute,Measured value,Radiance,Fluorescence,No
78,10.1021:acsnano.2c11675_zero_fig2,10.1021:acsnano.2c11675,zero,2,acs_nano,Total radiant efficiency x1e8 (photon/sec/mm/sq),Absolute,Measured value,Radiance,Fluorescence,No
79,10.1021:acsnano.2c11764_zero_fig1,10.1021:acsnano.2c11764,zero,1,acs_nano,Cell viability (%),Relative,Percentage,Cell viability,Percentage,No
80,10.1021:acsnano.2c11777_zero_fig1,10.1021:acsnano.2c11777,zero,1,acs_nano,Arthritis index,Relative,Calculated value,Index,Constant,No
81,10.1021:acsnano.2c11777_zero_fig10,10.1021:acsnano.2c11777,zero,10,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
82,10.1021:acsnano.2c11777_zero_fig11,10.1021:acsnano.2c11777,zero,11,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
83,10.1021:acsnano.2c11777_zero_fig12,10.1021:acsnano.2c11777,zero,12,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
84,10.1021:acsnano.2c11777_zero_fig2,10.1021:acsnano.2c11777,zero,2,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
85,10.1021:acsnano.2c11777_zero_fig3,10.1021:acsnano.2c11777,zero,3,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
86,10.1021:acsnano.2c11777_zero_fig4,10.1021:acsnano.2c11777,zero,4,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
87,10.1021:acsnano.2c11777_zero_fig5,10.1021:acsnano.2c11777,zero,5,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
88,10.1021:acsnano.2c11777_zero_fig6,10.1021:acsnano.2c11777,zero,6,acs_nano,Bone resorption area (%),Relative,Percentage,Percentage,Percentage,No
89,10.1021:acsnano.2c11777_zero_fig7,10.1021:acsnano.2c11777,zero,7,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
90,10.1021:acsnano.2c11777_zero_fig8,10.1021:acsnano.2c11777,zero,8,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
91,10.1021:acsnano.2c11777_zero_fig9,10.1021:acsnano.2c11777,zero,9,acs_nano,Relative RNA expression (fold change),Relative,Ratio,Ratio,Ratio,No
92,10.1021:acsnano.2c11975_zero_fig1,10.1021:acsnano.2c11975,zero,1,acs_nano,Membrane potential (mV),Absolute,Measured value,Potential,Others,No
93,10.1021:acsnano.2c12017_zero_fig1,10.1021:acsnano.2c12017,zero,1,acs_nano,OD value,Absolute,Measured value,Others,Others,No
94,10.1021:acsnano.2c12154_zero_fig1,10.1021:acsnano.2c12154,zero,1,acs_nano,Total antioxidant capacity (nmol/mg prot),Absolute,Measured value,Concentration,Concentration,No
95,10.1021:acsnano.2c12154_zero_fig2,10.1021:acsnano.2c12154,zero,2,acs_nano,Colon length (cm),Absolute,Measured value,Colon length,Length,No
96,10.1021:acsnano.2c12154_zero_fig3,10.1021:acsnano.2c12154,zero,3,acs_nano,Weight (g),Absolute,Measured value,Mass,Mass,No
97,10.1021:acsnano.2c12154_zero_fig4,10.1021:acsnano.2c12154,zero,4,acs_nano,Number of bacterial colonies,Absolute,Measured value,Titer,Concentration,No
98,10.1021:acsnano.2c12229_zero_fig1,10.1021:acsnano.2c12229,zero,1,acs_nano,Capture efficiency (%),Relative,Percentage,Percentage,Percentage,No
99,10.1021:acsnano.2c12233_zero_fig1,10.1021:acsnano.2c12233,zero,1,acs_nano,Relative biovolume (%),Relative,Percentage,Percentage,Percentage,No
100,10.1021:acsnano.2c12233_zero_fig2,10.1021:acsnano.2c12233,zero,2,acs_nano,Relative biovolume (%),Relative,Percentage,Percentage,Percentage,No
101,10.1021:acsnano.2c12261_zero_fig1,10.1021:acsnano.2c12261,zero,1,acs_nano,Relative radiant efficiency,Relative,Ratio,Relative luminescence,Fluorescence,No
102,10.1021:acsnano.2c12261_zero_fig2,10.1021:acsnano.2c12261,zero,2,acs_nano,Relative radiant efficiency,Relative,Ratio,Relative luminescence,Fluorescence,No
103,10.1021:acsnano.2c12261_zero_fig3,10.1021:acsnano.2c12261,zero,3,acs_nano,Relative radiant efficiency,Relative,Ratio,Relative luminescence,Fluorescence,No
104,10.1021:acsnano.2c12261_zero_fig4,10.1021:acsnano.2c12261,zero,4,acs_nano,Relative radiant efficiency,Relative,Ratio,Relative luminescence,Fluorescence,No
105,10.1021:acsnano.2c12261_zero_fig5,10.1021:acsnano.2c12261,zero,5,acs_nano,Relative radiant efficiency,Relative,Ratio,Relative luminescence,Fluorescence,No
106,10.1021:acsnano.2c12261_zero_fig6,10.1021:acsnano.2c12261,zero,6,acs_nano,Relative radiant efficiency,Relative,Ratio,Relative luminescence,Fluorescence,No
107,10.1021:acsnano.2c12261_zero_fig7,10.1021:acsnano.2c12261,zero,7,acs_nano,Relative radiant efficiency,Relative,Ratio,Relative luminescence,Fluorescence,No
108,10.1021:acsnano.2c12261_zero_fig8,10.1021:acsnano.2c12261,zero,8,acs_nano,Particle diameter (nm),Absolute,Measured value,Particle diameter,Length,No
109,10.1021:acsnano.2c12261_zero_fig9,10.1021:acsnano.2c12261,zero,9,acs_nano,Particle diameter (nm),Absolute,Measured value,Particle diameter,Length,No
110,10.1021:acsnano.2c12319_zero_fig1,10.1021:acsnano.2c12319,zero,1,acs_nano,Integrated density/area,Relative,Calculated value,Relative luminescence,Fluorescence,No
111,10.1021:acsnano.2c12356_zero_fig1,10.1021:acsnano.2c12356,zero,1,acs_nano,IL-6 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
112,10.1021:acsnano.2c12356_zero_fig10,10.1021:acsnano.2c12356,zero,10,acs_nano,NO2- (µM),Absolute,Measured value,Concentration,Concentration,No
113,10.1021:acsnano.2c12356_zero_fig11,10.1021:acsnano.2c12356,zero,11,acs_nano,MCP-1 (pg/mg protein),Absolute,Measured value,Cytokine concentration,Concentration,No
114,10.1021:acsnano.2c12356_zero_fig12,10.1021:acsnano.2c12356,zero,12,acs_nano,IL-1beta (pg/mg protein),Absolute,Measured value,Cytokine concentration,Concentration,No
115,10.1021:acsnano.2c12356_zero_fig13,10.1021:acsnano.2c12356,zero,13,acs_nano,IL-6 (pg/mg protein),Absolute,Measured value,Cytokine concentration,Concentration,No
116,10.1021:acsnano.2c12356_zero_fig14,10.1021:acsnano.2c12356,zero,14,acs_nano,Others at 660 nm,Absolute,Measured value,Others,Others,No
117,10.1021:acsnano.2c12356_zero_fig15,10.1021:acsnano.2c12356,zero,15,acs_nano,Pearson's correlation coefficient,Absolute,Measured value,Statistics,Statistics,No
118,10.1021:acsnano.2c12356_zero_fig16,10.1021:acsnano.2c12356,zero,16,acs_nano,Hydrodynamic size (nm),Absolute,Measured value,Particle diameter,Length,No
119,10.1021:acsnano.2c12356_zero_fig2,10.1021:acsnano.2c12356,zero,2,acs_nano,IL-6 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
120,10.1021:acsnano.2c12356_zero_fig3,10.1021:acsnano.2c12356,zero,3,acs_nano,IL-6 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
121,10.1021:acsnano.2c12356_zero_fig4,10.1021:acsnano.2c12356,zero,4,acs_nano,MCP-1 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
122,10.1021:acsnano.2c12356_zero_fig5,10.1021:acsnano.2c12356,zero,5,acs_nano,MCP-1 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
123,10.1021:acsnano.2c12356_zero_fig6,10.1021:acsnano.2c12356,zero,6,acs_nano,MCP-1 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
124,10.1021:acsnano.2c12356_zero_fig7,10.1021:acsnano.2c12356,zero,7,acs_nano,IL-6 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
125,10.1021:acsnano.2c12356_zero_fig8,10.1021:acsnano.2c12356,zero,8,acs_nano,MCP-1 (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
126,10.1021:acsnano.2c12356_zero_fig9,10.1021:acsnano.2c12356,zero,9,acs_nano,IL-10 (pg/mg protein),Absolute,Measured value,Cytokine concentration,Concentration,No
127,10.1021:acsnano.2c12361_zero_fig1,10.1021:acsnano.2c12361,zero,1,acs_nano,Rejection (%),Relative,Percentage,Percentage,Percentage,No
128,10.1021:acsnano.2c12361_zero_fig2,10.1021:acsnano.2c12361,zero,2,acs_nano,Permeance (L m-2 h-1 bar-1),Absolute,Measured value,Others,Others,No
129,10.1021:acsnano.2c12361_zero_fig3,10.1021:acsnano.2c12361,zero,3,acs_nano,Rejection (%),Relative,Percentage,Percentage,Percentage,No
130,10.1021:acsnano.2c12387_zero_fig1,10.1021:acsnano.2c12387,zero,1,acs_nano,Pattern yield (%),Relative,Percentage,Percentage,Percentage,No
131,10.1021:acsnano.2c12387_zero_fig2,10.1021:acsnano.2c12387,zero,2,acs_nano,RMS (nm),Absolute,Measured value,Length,Length,No
132,10.1021:acsnano.2c12523_zero_fig1,10.1021:acsnano.2c12523,zero,1,acs_nano,k_Q^Er (ms-1),Absolute,Measured value,Constant,Constant,No
133,10.1021:acsnano.2c12523_zero_fig2,10.1021:acsnano.2c12523,zero,2,acs_nano,k_CR^ErEr (ms-1),Absolute,Measured value,Constant,Constant,No
134,10.1021:acsnano.2c12523_zero_fig3,10.1021:acsnano.2c12523,zero,3,acs_nano,k_CR^ErNd (ms-1),Absolute,Measured value,Constant,Constant,No
135,10.1021:acsnano.2c12523_zero_fig4,10.1021:acsnano.2c12523,zero,4,acs_nano,k_Q^Er (ms-1),Absolute,Measured value,Constant,Constant,No
136,10.1021:acsnano.2c12523_zero_fig5,10.1021:acsnano.2c12523,zero,5,acs_nano,k_CR^ErEr (ms-1),Absolute,Measured value,Constant,Constant,No
137,10.1021:acsnano.2c12523_zero_fig6,10.1021:acsnano.2c12523,zero,6,acs_nano,k_CR^ErNd (ms-1),Absolute,Measured value,Constant,Constant,No
138,10.1021:acsnano.2c12600_zero_fig1,10.1021:acsnano.2c12600,zero,1,acs_nano,DOX signal (x1e2),Relative,Calculated value,Relative luminescence,Fluorescence,No
139,10.1021:acsnano.2c12614_zero_fig1,10.1021:acsnano.2c12614,zero,1,acs_nano,Distance moved (m),Absolute,Measured value,Length,Length,No
140,10.1021:acsnano.2c12614_zero_fig2,10.1021:acsnano.2c12614,zero,2,acs_nano,Distance moved (m),Absolute,Measured value,Length,Length,No
141,10.1021:acsnano.2c12660_zero_fig1,10.1021:acsnano.2c12660,zero,1,acs_nano,Gray value,Absolute,Measured value,Constant,Constant,No
142,10.1021:acsnano.2c12722_zero_fig1,10.1021:acsnano.2c12722,zero,1,acs_nano,ICAM-1/beta-actin ratio,Relative,Ratio,Ratio,Ratio,No
143,10.1021:acsnano.2c12722_zero_fig2,10.1021:acsnano.2c12722,zero,2,acs_nano,ZO-1/beta-actin ratio,Relative,Ratio,Ratio,Ratio,No
144,10.1021:acsnano.2c12722_zero_fig3,10.1021:acsnano.2c12722,zero,3,acs_nano,Mean diameter (nm),Absolute,Measured value,Particle diameter,Length,No
145,10.1021:acsnano.2c12722_zero_fig4,10.1021:acsnano.2c12722,zero,4,acs_nano,ICAM-1/beta-actin ratio,Relative,Ratio,Ratio,Ratio,No
146,10.1021:acsnano.2c12722_zero_fig5,10.1021:acsnano.2c12722,zero,5,acs_nano,ZO-1/beta-actin ratio,Relative,Ratio,Ratio,Ratio,No
147,10.1021:acsnano.2c12722_zero_fig6,10.1021:acsnano.2c12722,zero,6,acs_nano,VE-cardherin/beta-actin ratio,Relative,Ratio,Ratio,Ratio,No
148,10.1021:acsnano.2c12722_zero_fig7,10.1021:acsnano.2c12722,zero,7,acs_nano,ITGAM relative protein expression,Relative,Ratio,Ratio,Ratio,No
149,10.1021:acsnano.2c12722_zero_fig8,10.1021:acsnano.2c12722,zero,8,acs_nano,ILK relative protein expression,Relative,Ratio,Ratio,Ratio,No
150,10.1021:acsnano.2c12754_zero_fig1,10.1021:acsnano.2c12754,zero,1,acs_nano,Diffusion rate,Absolute,Measured value,Others,Others,No
151,10.1021:acsnano.2c12754_zero_fig2,10.1021:acsnano.2c12754,zero,2,acs_nano,Diffusion rate,Absolute,Measured value,Others,Others,No
152,10.1021:acsnano.2c12754_zero_fig3,10.1021:acsnano.2c12754,zero,3,acs_nano,Diffusion rate,Absolute,Measured value,Others,Others,No
153,10.1021:acsnano.2c12754_zero_fig4,10.1021:acsnano.2c12754,zero,4,acs_nano,Diffusion rate,Absolute,Measured value,Others,Others,No
154,10.1021:acsnano.2c12831_zero_fig1,10.1021:acsnano.2c12831,zero,1,acs_nano,Temperature (°C),Relative,Measured value,Temperature,Temperature,No
155,10.1021:acsnano.2c12831_zero_fig2,10.1021:acsnano.2c12831,zero,2,acs_nano,Lung temperature (°C),Relative,Measured value,Temperature,Temperature,No
156,10.1021:acsnano.2c12840_zero_fig1,10.1021:acsnano.2c12840,zero,1,acs_nano,Degradation of Abeta (relative fold),Relative,Ratio,Ratio,Ratio,No
157,10.1021:acsnano.2c12874_zero_fig1,10.1021:acsnano.2c12874,zero,1,acs_nano,T1 (ms),Relative,Measured value,Time,Time,No
158,10.1021:acsnano.2c12874_zero_fig2,10.1021:acsnano.2c12874,zero,2,acs_nano,UREA (mM),Absolute,Measured value,Concentration,Concentration,No
159,10.1021:acsnano.2c12874_zero_fig3,10.1021:acsnano.2c12874,zero,3,acs_nano,A/G (g/L),Absolute,Measured value,Concentration,Concentration,No
160,10.1021:acsnano.2c12874_zero_fig4,10.1021:acsnano.2c12874,zero,4,acs_nano,ALB (g/L),Absolute,Measured value,Concentration,Concentration,No
161,10.1021:acsnano.2c12874_zero_fig5,10.1021:acsnano.2c12874,zero,5,acs_nano,T1 signal (a.u.),Relative,Calculated value,Relative luminescence,Fluorescence,No
